,cluster_x,cluster_y,s1_afv_nodes,s1_afv_poi,type,bag,aantal_per_fractie,volume_per_fractie,street_name,buurt,wijk,stadsdeel,rest,plastic,papier,glas,textiel,totaal,move_rest
102,113930,485256,682220.0,92087.0,afval_cluster,113929.774|485256.275,['Rest:2'],['Rest:8 m3'],Rudi Bloemgartensingel,F84a,F84,F,2,0,0,0,0,2,True
103,113948,485735,709222.0,68279.0,afval_cluster,113948.179|485735.268,"['Rest:3', 'Glas:1', 'Papier:1']","['Rest:15 m3', 'Glas:3 m3', 'Papier:3 m3']",Waterschapstraat,F83a,F83,F,3,0,1,1,0,5,True
104,113949,485037,877341.0,153814.0,afval_cluster,113948.639|485036.928,"['Glas:1', 'Papier:1']","['Glas:3 m3', 'Papier:3 m3']",Trijn Hullemanlaan,F84a,F84,F,2,0,0,0,0,2,True
105,113964,484492,652462.0,109648.0,afval_cluster,113963.859|484491.668,"['Rest:2', 'Plastic:1']","['Rest:8 m3', 'Plastic:4 m3']",Marksingel,F84c,F84,F,2,1,0,0,0,3,True
106,113969,485066,735771.0,80586.0,afval_cluster,113968.565|485066.483,['Rest:1'],['Rest:5 m3'],Trijn Hullemanlaan,F84a,F84,F,1,0,0,0,0,1,True
107,113976,485063,814395.0,65399.0,afval_cluster,113975.652|485063.219,['Rest:1'],['Rest:3 m3'],Jacob Paffstraat,F84a,F84,F,1,0,0,0,0,1,True
108,113981,485484,840528.0,127191.0,afval_cluster,113980.857|485483.552,['Rest:2'],['Rest:8 m3'],Akerwateringstraat,F83a,F83,F,2,0,0,0,0,2,True
109,113990,485390,591359.0,11151.0,afval_cluster,113989.904|485390.202,"['Rest:3', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:13 m3', 'Glas:3 m3', 'Papier:3 m3', 'Plastic:4 m3']",Akerwateringstraat,F83a,F83,F,3,1,1,1,0,6,True
110,113991,485215,854487.0,154731.0,afval_cluster,113990.551|485215.229,['Rest:2'],['Rest:8 m3'],Rudi Bloemgartensingel,F84a,F84,F,2,0,0,0,0,2,True
111,114002,484315,798737.0,52976.0,afval_cluster,114002.027|484315.087,['Rest:2'],['Rest:8 m3'],Pond Sterlinglaan,F84c,F84,F,2,0,0,0,0,2,True
112,114009,485614,951368.0,79126.0,afval_cluster,114009.335|485613.935,"['Rest:1', 'Papier:1']","['Rest:5 m3', 'Papier:3 m3']",Wierdestraat,F83a,F83,F,2,0,0,0,0,2,True
113,114013,484428,926772.0,114949.0,afval_cluster,114013.457|484427.780,['Rest:2'],['Rest:8 m3'],Forintplantsoen,F84c,F84,F,2,0,0,0,0,2,True
114,114017,485000,878778.0,509.0,afval_cluster,114016.908|484999.626,['Rest:2'],['Rest:8 m3'],Trijn Hullemanlaan,F84a,F84,F,2,0,0,0,0,2,True
115,114021,484781,505772.0,138215.0,afval_cluster,114020.550|484781.198,"['Rest:3', 'Papier:1']","['Rest:13 m3', 'Papier:5 m3']",Pieter Calandlaan,F84c,F84,F,3,0,1,0,0,4,True
116,114026,484621,864987.0,117092.0,afval_cluster,114026.008|484620.656,"['Glas:1', 'Papier:1']","['Glas:3 m3', 'Papier:3 m3']",Eurokade,F84c,F84,F,0,0,1,1,0,2,True
117,114027,484902,951536.0,144922.0,afval_cluster,114027.055|484902.470,['Rest:2'],['Rest:8 m3'],Anton Hölzelsingel,F84a,F84,F,2,0,0,0,0,2,True
118,114036,484622,554338.0,89296.0,afval_cluster,114036.446|484621.799,['Rest:2'],['Rest:10 m3'],Eurokade,F84c,F84,F,2,0,0,0,0,2,True
119,114043,484785,590539.0,59927.0,afval_cluster,114042.770|484784.678,['Plastic:1'],['Plastic:4 m3'],Pieter Calandlaan,F84c,F84,F,0,1,0,0,0,1,True
120,114044,484357,917945.0,92442.0,afval_cluster,114044.218|484356.830,['Rest:2'],['Rest:8 m3'],Centavoshof,F84c,F84,F,2,0,0,0,0,2,True
121,114047,485571,768428.0,27580.0,afval_cluster,114046.541|485570.754,"['Rest:2', 'Glas:1']","['Rest:10 m3', 'Glas:3 m3']",Hoekslootstraat,F83a,F83,F,3,0,0,0,0,3,True
122,114048,485179,964871.0,84411.0,afval_cluster,114047.894|485179.097,"['Rest:2', 'Glas:1', 'Papier:1']","['Rest:8 m3', 'Glas:3 m3', 'Papier:3 m3']",Rudi Bloemgartensingel,F84a,F84,F,3,0,1,0,0,4,True
123,114060,484400,795104.0,78590.0,afval_cluster,114060.212|484399.620,['Rest:2'],['Rest:8 m3'],Pond Sterlinglaan,F84c,F84,F,2,0,0,0,0,2,True
124,114064,485759,635414.0,160033.0,afval_cluster,114064.108|485758.547,"['Rest:2', 'Plastic:1']","['Rest:10 m3', 'Plastic:5 m3']",Waterschapstraat,F83a,F83,F,3,0,0,0,0,3,True
125,114067,484803,484037.0,4517.0,afval_cluster,114067.470|484802.906,['Rest:3'],['Rest:15 m3'],Pieter Calandlaan,F84c,F84,F,3,0,0,0,0,3,True
126,114076,484521,890726.0,47473.0,afval_cluster,114075.751|484521.136,['Rest:2'],['Rest:8 m3'],Zlotylaan,F84c,F84,F,1,0,1,0,0,2,True
127,114084,484796,611162.0,45255.0,afval_cluster,114084.089|484795.581,['Plastic:1'],['Plastic:4 m3'],Pieter Calandlaan,F84c,F84,F,0,1,0,0,0,1,True
