,cluster_x,cluster_y,s1_afv_nodes,s1_afv_poi,type,bag,aantal_per_fractie,volume_per_fractie,street_name,buurt,wijk,stadsdeel,rest,plastic,papier,glas,textiel,totaal,move_rest,rest_threshold
36,122613,484869,501166.0,74068.0,afval_cluster,122612.669|484868.512,"['Rest:1', 'Glas:1', 'Papier:1']","['Rest:5 m3', 'Glas:4 m3', 'Papier:5 m3']",Weesperzijde,M27b,M27,M,1,0,1,1,0,3,True,0.0
37,122674,485758,854866.0,69309.0,afval_cluster,122673.608|485758.274,"['Rest:3', 'Glas:1', 'Papier:1']","['Rest:13 m3', 'Glas:4 m3', 'Papier:5 m3']",Tilanusstraat,M28a,M28,M,3,0,1,1,0,5,True,0.0
38,122730,482965,528115.0,5038.0,afval_cluster,122730.081|482965.146,"['Glas:1', 'Papier:2', 'Plastic:1']","['Glas:5 m3', 'Papier:10 m3', 'Plastic:5 m3']",Joan Muyskenweg,M58j,M58,M,0,1,2,1,0,4,True,0.0
39,123032,485532,650205.0,147710.0,afval_cluster,123031.870|485532.118,['Rest:2'],['Rest:14 m3'],Beukenplein,M28d,M28,M,2,0,0,0,0,2,True,0.0
40,123208,483831,927631.0,11261.0,afval_cluster,123208.245|483831.266,"['Rest:3', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:15 m3', 'Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3']",Lindenhoeveweg,M58b,M58,M,3,1,1,1,0,6,True,0.0
41,123388,485632,784628.0,11795.0,afval_cluster,123388.296|485631.862,['Rest:2'],['Rest:12 m3'],Vrolikstraat,M28c,M28,M,2,0,0,0,0,2,True,0.0
42,123461,487674,622379.0,42143.0,afval_cluster,123460.799|487674.310,"['Rest:2', 'Plastic:1']","['Rest:9.38 m3', 'Plastic:4.69 m3']",Piet Heinkade,M33a,M33,M,2,1,0,0,0,3,True,0.0
43,123462,486829,848048.0,9662.0,afval_cluster,123462.142|486829.471,"['Rest:1', 'Papier:1']","['Rest:5 m3', 'Papier:5 m3']",Admiraliteitstraat,A09d,A09,A,1,0,1,0,0,2,False,0.0
44,123463,486115,742868.0,68580.0,afval_cluster,123463.408|486115.252,"['Rest:1', 'Glas:1', 'Papier:1']","['Rest:5 m3', 'Glas:5 m3', 'Papier:5 m3']",Linnaeusstraat,M29a,M29,M,1,0,1,1,0,3,True,0.0
45,123493,485223,853564.0,1141.0,afval_cluster,123492.818|485222.696,['Rest:1'],['Rest:4.69 m3'],Laing's Nekstraat,M30b,M30,M,1,0,0,0,0,1,True,0.0
